contrast_id,baseline_protocol,comparison_protocol,model_or_variant,baseline_mean_test_macro_f1,comparison_mean_test_macro_f1,delta_test_macro_f1,baseline_mean_test_mcc,comparison_mean_test_mcc,delta_test_mcc,baseline_mean_test_balanced_accuracy,comparison_mean_test_balanced_accuracy,delta_test_balanced_accuracy,baseline_mean_overlap_risk,comparison_mean_overlap_risk,delta_overlap_risk,n_baseline_runs,n_comparison_runs,comparison_seed_std_macro_f1,interpretation
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,majority,0.26117564237944385,0.26930364662070955,0.008128004241265696,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1,5,0.002191009302813955,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,raw_window_logistic_untuned,0.39874852833303703,0.4533954083445425,0.05464688001150547,0.17865751863966728,0.23170155811513374,0.05304403947546646,0.47480332215721077,0.5182895642441602,0.0434862420869494,0.0,1.0,1.0,1,5,0.007393443421130503,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,raw_window_logistic_tuned,0.3951881415336838,0.4534425334254718,0.05825439189178799,0.1784332493791942,0.2326533285558614,0.05422007917666721,0.47636578791663925,0.5183781978622577,0.042012409945618445,0.0,1.0,1.0,1,5,0.007729047768375294,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,raw_window_logistic_test_oracle,0.39941867566362516,0.45439352233527847,0.05497484667165331,0.17942655146205494,0.2332229141626617,0.053796362700606754,0.4752525584555037,0.5197168088262035,0.04446425037069984,0.0,1.0,1.0,1,5,0.008739617925132719,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,reconstruction_best_latent_head,0.37362527533334605,0.40772448066970324,0.034099205336357186,0.1462534685001913,0.17307711735135933,0.02682364885116803,0.433596300922578,0.4489245446652156,0.015328243742637582,0.0,1.0,1.0,1,5,0.010786368590851332,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,validation_selected_latent_head,0.4318430006220933,0.49752280468674703,0.06567980406465374,0.26018908580686045,0.3187400917430673,0.058551005936206824,0.5555716257971205,0.6002279733300174,0.044656347532896934,0.0,1.0,1.0,1,5,0.01030404479291422,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_window_naive_vs_chronological_purged,chronological_purged,random_window_naive,test_posthoc_best_latent_head,0.4318430006220933,0.49752280468674703,0.06567980406465374,0.26018908580686045,0.3187400917430673,0.058551005936206824,0.5555716257971205,0.6002279733300174,0.044656347532896934,0.0,1.0,1.0,1,5,0.01030404479291422,"mixed randomization effect including temporal mixing, near-neighbor exposure, and purge differences"
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,majority,0.26117564237944385,0.26931520939804593,0.008139567018602079,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1,5,0.013079812635884903,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,raw_window_logistic_untuned,0.39874852833303703,0.3965335386732546,-0.0022149896597824514,0.17865751863966728,0.14880164940809393,-0.02985586923157335,0.47480332215721077,0.4537974613153182,-0.0210058608418926,0.0,0.0,0.0,1,5,0.02668787814913914,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,raw_window_logistic_tuned,0.3951881415336838,0.39555555557535715,0.0003674140416733418,0.1784332493791942,0.14730930914033857,-0.03112394023885562,0.47636578791663925,0.4525667417528796,-0.023799046163759663,0.0,0.0,0.0,1,5,0.02338329121529972,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,raw_window_logistic_test_oracle,0.39941867566362516,0.40063426604007646,0.0012155903764513032,0.17942655146205494,0.1549563171501917,-0.024470234311863237,0.4752525584555037,0.4587505548270029,-0.016502003628500794,0.0,0.0,0.0,1,5,0.02898671728132119,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,reconstruction_best_latent_head,0.37362527533334605,0.36029729252120074,-0.013327982812145311,0.1462534685001913,0.10185390594430173,-0.044399562555889574,0.433596300922578,0.4000869538892607,-0.033509347033317316,0.0,0.0,0.0,1,5,0.013949419442393233,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,validation_selected_latent_head,0.4318430006220933,0.44571675844129766,0.013873757819204358,0.26018908580686045,0.2651128381135254,0.004923752306664919,0.5555716257971205,0.5669049289412716,0.011333303144151152,0.0,0.0,0.0,1,5,0.04071248974807365,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_block_purged_vs_chronological_purged,chronological_purged,random_block_purged,test_posthoc_best_latent_head,0.4318430006220933,0.44571675844129766,0.013873757819204358,0.26018908580686045,0.2651128381135254,0.004923752306664919,0.5555716257971205,0.5669049289412716,0.011333303144151152,0.0,0.0,0.0,1,5,0.04071248974807365,temporal or regime mixing effect proxy with near-neighbor risk controlled
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,majority,0.26931520939804593,0.26930364662070955,-1.1562777336382446e-05,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,5,5,0.002191009302813955,near-neighbor exposure / overlapping-window effect proxy
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,raw_window_logistic_untuned,0.3965335386732546,0.4533954083445425,0.05686186967128792,0.14880164940809393,0.23170155811513374,0.08289990870703981,0.4537974613153182,0.5182895642441602,0.064492102928842,0.0,1.0,1.0,5,5,0.007393443421130503,near-neighbor exposure / overlapping-window effect proxy
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,raw_window_logistic_tuned,0.39555555557535715,0.4534425334254718,0.05788697785011465,0.14730930914033857,0.2326533285558614,0.08534401941552283,0.4525667417528796,0.5183781978622577,0.06581145610937811,0.0,1.0,1.0,5,5,0.007729047768375294,near-neighbor exposure / overlapping-window effect proxy
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,raw_window_logistic_test_oracle,0.40063426604007646,0.45439352233527847,0.05375925629520201,0.1549563171501917,0.2332229141626617,0.07826659701246999,0.4587505548270029,0.5197168088262035,0.06096625399920064,0.0,1.0,1.0,5,5,0.008739617925132719,near-neighbor exposure / overlapping-window effect proxy
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,reconstruction_best_latent_head,0.36029729252120074,0.40772448066970324,0.0474271881485025,0.10185390594430173,0.17307711735135933,0.0712232114070576,0.4000869538892607,0.4489245446652156,0.0488375907759549,0.0,1.0,1.0,5,5,0.010786368590851332,near-neighbor exposure / overlapping-window effect proxy
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,validation_selected_latent_head,0.44571675844129766,0.49752280468674703,0.05180604624544938,0.2651128381135254,0.3187400917430673,0.053627253629541904,0.5669049289412716,0.6002279733300174,0.03332304438874578,0.0,1.0,1.0,5,5,0.01030404479291422,near-neighbor exposure / overlapping-window effect proxy
random_window_naive_vs_random_block_purged,random_block_purged,random_window_naive,test_posthoc_best_latent_head,0.44571675844129766,0.49752280468674703,0.05180604624544938,0.2651128381135254,0.3187400917430673,0.053627253629541904,0.5669049289412716,0.6002279733300174,0.03332304438874578,0.0,1.0,1.0,5,5,0.01030404479291422,near-neighbor exposure / overlapping-window effect proxy
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,majority,0.26117564237944385,0.26117564237944385,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,raw_window_logistic_untuned,0.39874852833303703,0.39874852833303703,0.0,0.17865751863966728,0.17865751863966728,0.0,0.47480332215721077,0.47480332215721077,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,raw_window_logistic_tuned,0.3951881415336838,0.3951881415336838,0.0,0.1784332493791942,0.1784332493791942,0.0,0.47636578791663925,0.47636578791663925,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,raw_window_logistic_test_oracle,0.39941867566362516,0.39941867566362516,0.0,0.17942655146205494,0.17942655146205494,0.0,0.4752525584555037,0.4752525584555037,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,reconstruction_best_latent_head,0.37362527533334605,0.37362527533334605,0.0,0.1462534685001913,0.1462534685001913,0.0,0.433596300922578,0.433596300922578,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,validation_selected_latent_head,0.4318430006220933,0.4318430006220933,0.0,0.26018908580686045,0.26018908580686045,0.0,0.5555716257971205,0.5555716257971205,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
chronological_no_purge_vs_chronological_purged,chronological_purged,chronological_no_purge,test_posthoc_best_latent_head,0.4318430006220933,0.4318430006220933,0.0,0.26018908580686045,0.26018908580686045,0.0,0.5555716257971205,0.5555716257971205,0.0,0.0,0.0,0.0,1,1,0.0,boundary purge effect proxy on the existing kept sample universe
