run_id,split_protocol,seed,n_train,n_val,n_test,train_label_distribution,val_label_distribution,test_label_distribution,min_train_val_label_row_gap,min_val_test_label_row_gap,min_train_test_label_row_gap,fraction_val_with_overlapping_train_window,fraction_val_with_near_neighbor_train_k1,fraction_val_with_near_neighbor_train_k5,fraction_val_with_near_neighbor_train_k25,fraction_test_with_overlapping_train_window,fraction_test_with_near_neighbor_train_k1,fraction_test_with_near_neighbor_train_k5,fraction_test_with_near_neighbor_train_k25,fraction_test_with_same_label_row_in_train,fraction_test_with_adjacent_label_row_in_train,boundary_purge_applied,embargo_applied,near_neighbor_risk_level,integrity_interpretation
chronological_purged,chronological_purged,0,5600,1200,1152,"{""0"": 965, ""1"": 3674, ""2"": 961}","{""0"": 141, ""1"": 895, ""2"": 164}","{""0"": 205, ""1"": 742, ""2"": 205}",100.0,100.0,4996.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,True,False,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
chronological_no_purge,chronological_no_purge,0,5600,1200,1152,"{""0"": 965, ""1"": 3674, ""2"": 961}","{""0"": 141, ""1"": 895, ""2"": 164}","{""0"": 205, ""1"": 742, ""2"": 205}",100.0,100.0,4996.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
random_window_naive_seed42,random_window_naive,42,5600,1200,1152,"{""0"": 930, ""1"": 3727, ""2"": 943}","{""0"": 191, ""1"": 822, ""2"": 187}","{""0"": 190, ""1"": 762, ""2"": 200}",4.0,4.0,4.0,1.0,0.9108333333333334,1.0,1.0,1.0,0.9244791666666666,1.0,1.0,0.0,0.9244791666666666,False,False,high,"high train/test near-neighbor risk; test overlap=1.0000, test k5=1.0000"
random_block_purged_seed42,random_block_purged,42,5407,1171,924,"{""0"": 959, ""1"": 3494, ""2"": 954}","{""0"": 167, ""1"": 830, ""2"": 174}","{""0"": 114, ""1"": 666, ""2"": 144}",204.0,2252.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
random_window_naive_seed43,random_window_naive,43,5600,1200,1152,"{""0"": 915, ""1"": 3747, ""2"": 938}","{""0"": 226, ""1"": 779, ""2"": 195}","{""0"": 170, ""1"": 785, ""2"": 197}",4.0,4.0,4.0,1.0,0.9216666666666666,1.0,1.0,1.0,0.9340277777777778,1.0,1.0,0.0,0.9340277777777778,False,False,high,"high train/test near-neighbor risk; test overlap=1.0000, test k5=1.0000"
random_block_purged_seed43,random_block_purged,43,5779,924,949,"{""0"": 989, ""1"": 3765, ""2"": 1025}","{""0"": 135, ""1"": 655, ""2"": 134}","{""0"": 145, ""1"": 683, ""2"": 121}",204.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
random_window_naive_seed44,random_window_naive,44,5600,1200,1152,"{""0"": 942, ""1"": 3712, ""2"": 946}","{""0"": 194, ""1"": 807, ""2"": 199}","{""0"": 175, ""1"": 792, ""2"": 185}",4.0,4.0,4.0,1.0,0.9158333333333334,1.0,1.0,1.0,0.9010416666666666,1.0,1.0,0.0,0.9010416666666666,False,False,high,"high train/test near-neighbor risk; test overlap=1.0000, test k5=1.0000"
random_block_purged_seed44,random_block_purged,44,5482,1171,999,"{""0"": 901, ""1"": 3668, ""2"": 913}","{""0"": 238, ""1"": 672, ""2"": 261}","{""0"": 141, ""1"": 729, ""2"": 129}",204.0,4300.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
random_window_naive_seed45,random_window_naive,45,5600,1200,1152,"{""0"": 947, ""1"": 3708, ""2"": 945}","{""0"": 187, ""1"": 815, ""2"": 198}","{""0"": 177, ""1"": 788, ""2"": 187}",4.0,4.0,4.0,1.0,0.9191666666666667,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.0,0.9166666666666666,False,False,high,"high train/test near-neighbor risk; test overlap=1.0000, test k5=1.0000"
random_block_purged_seed45,random_block_purged,45,5729,924,949,"{""0"": 835, ""1"": 4025, ""2"": 869}","{""0"": 248, ""1"": 440, ""2"": 236}","{""0"": 179, ""1"": 595, ""2"": 175}",204.0,4300.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
random_window_naive_seed46,random_window_naive,46,5600,1200,1152,"{""0"": 932, ""1"": 3728, ""2"": 940}","{""0"": 195, ""1"": 806, ""2"": 199}","{""0"": 184, ""1"": 777, ""2"": 191}",4.0,4.0,4.0,1.0,0.9025,1.0,1.0,1.0,0.90625,1.0,1.0,0.0,0.90625,False,False,high,"high train/test near-neighbor risk; test overlap=1.0000, test k5=1.0000"
random_block_purged_seed46,random_block_purged,46,5704,924,924,"{""0"": 908, ""1"": 3850, ""2"": 946}","{""0"": 166, ""1"": 614, ""2"": 144}","{""0"": 186, ""1"": 555, ""2"": 183}",204.0,2252.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,low,"low train/test near-neighbor risk; test overlap=0.0000, test k5=0.0000"
