model,model_variant,latent_dim,split,compression_ratio,normalized_mse,normalized_mae,original_mae
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,100.0,1.1886341571807861,0.3460719585418701,0.19956891238689423
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,100.0,0.3668297827243805,0.23529942333698273,0.12111678719520569
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,100.0,0.6626485586166382,0.35627415776252747,0.17014442384243011
pca,pca@8,8.0,train,500.0,0.36214470863342285,0.3119475841522217,0.19014427065849304
pca,pca@8,8.0,val,500.0,0.34568551182746887,0.32555678486824036,0.1843874752521515
pca,pca@8,8.0,test,500.0,0.5158528685569763,0.45930445194244385,0.2442840188741684
pca,pca@16,16.0,train,250.0,0.2686074674129486,0.24848365783691406,0.152513325214386
pca,pca@16,16.0,val,250.0,0.26217949390411377,0.2850087881088257,0.1691354215145111
pca,pca@16,16.0,test,250.0,0.37060290575027466,0.3596436381340027,0.1909542679786682
pca,pca@32,32.0,train,125.0,0.19492579996585846,0.20099450647830963,0.1233881488442421
pca,pca@32,32.0,val,125.0,0.17908260226249695,0.23531116545200348,0.14404498040676117
pca,pca@32,32.0,test,125.0,0.29241007566452026,0.31480473279953003,0.1712971329689026
pca,pca@64,64.0,train,62.5,0.13236266374588013,0.16164182126522064,0.09761156141757965
pca,pca@64,64.0,val,62.5,0.1402275413274765,0.2038552314043045,0.12676580250263214
pca,pca@64,64.0,test,62.5,0.24576574563980103,0.279826819896698,0.1508338302373886
pca,pca@128,128.0,train,31.25,0.07875940948724747,0.12412776798009872,0.07671045511960983
pca,pca@128,128.0,val,31.25,0.10180927067995071,0.17345397174358368,0.1112501323223114
pca,pca@128,128.0,test,31.25,0.19117014110088348,0.23962922394275665,0.135957270860672
mlp_ae,mlp_ae@16,16.0,train,250.0,0.24677836894989014,0.23918111622333527,0.13838361203670502
mlp_ae,mlp_ae@16,16.0,val,250.0,0.3095127046108246,0.31922608613967896,0.16865432262420654
mlp_ae,mlp_ae@16,16.0,test,250.0,0.48468106985092163,0.43853089213371277,0.2180478274822235
mlp_ae,mlp_ae@32,32.0,train,125.0,0.19823595881462097,0.20790888369083405,0.1190350130200386
mlp_ae,mlp_ae@32,32.0,val,125.0,0.292942613363266,0.31657713651657104,0.16460376977920532
mlp_ae,mlp_ae@32,32.0,test,125.0,0.47182127833366394,0.4477863609790802,0.22954314947128296
mlp_ae,mlp_ae@64,64.0,train,62.5,0.20061473548412323,0.20690469443798065,0.11888723075389862
mlp_ae,mlp_ae@64,64.0,val,62.5,0.27767354249954224,0.3090550899505615,0.16168925166130066
mlp_ae,mlp_ae@64,64.0,test,62.5,0.4945935904979706,0.44606029987335205,0.22905024886131287
