representation_variant,representation_model,latent_dim,compression_ratio,test_recon_normalized_mse,test_recon_normalized_mae,test_recon_top_of_book_mse,test_recon_last_step_mse,test_midprice_mae,test_top1_volume_sum_mae,test_lobench_weighted_mse_loss,test_lobench_all_loss,test_pred_accuracy,test_pred_balanced_accuracy,test_pred_macro_f1,test_pred_mcc,test_pred_log_loss,test_pred_directional_accuracy_non_neutral,test_pred_opposite_direction_rate,rank_recon_normalized_mse,rank_recon_top_of_book_mse,rank_recon_lobench_weighted_mse,rank_pred_macro_f1,rank_pred_mcc,rank_gap_macro_f1_vs_recon_mse,rank_gap_macro_f1_vs_lobench_weighted_mse,rank_gap_mcc_vs_recon_mse,interpretation
last_snapshot_repeat@40,last_snapshot_repeat,40.0,100.0,1.8321415185928345,0.4410129487514496,1.5797895193099976,0.0,0.011006087064743,0.6891533732414246,1.7654977958772329,4.340124763188138,0.4392361111111111,0.5509280564503758,0.43553963155392905,0.2579222852489748,1.0742701653417326,0.6707317073170732,0.22195121951219512,9,9,9,1,1,-8,-8,-8,better_prediction_than_reconstruction
pca@8,pca,8.0,500.0,0.8811519145965576,0.4793241620063782,0.9453548789024352,1.0091558404189225,0.055035937577486,0.7115218043327332,0.7041616376434991,2.096424796799345,0.3333333333333333,0.3772664519098021,0.3179815085784277,0.09624288762361455,1.1352923584676242,0.424390243902439,0.4878048780487805,8,8,8,9,9,1,1,1,aligned
pca@16,pca,16.0,250.0,0.6168215870857239,0.4114190638065338,0.7760782241821289,0.81717024751318,0.0214495547115802,0.5777592658996582,0.5473411587629041,1.8402507064494809,0.3602430555555556,0.38177853746192447,0.33439226821639595,0.09641768312397753,1.1057856304349565,0.40487804878048783,0.44146341463414634,7,5,5,8,8,1,3,1,aligned
pca@32,pca,32.0,125.0,0.4244960844516754,0.3092630803585052,0.6733884811401367,0.6220663002718033,0.0136578418314456,0.4899772107601166,0.4570291523129751,1.6042848263175298,0.3914930555555556,0.40854206385729624,0.3619241385633056,0.12002747489885575,1.12615001262364,0.4268292682926829,0.3829268292682927,3,3,3,3,4,0,0,1,aligned
pca@64,pca,64.0,62.5,0.2802900969982147,0.2375014126300811,0.5411673188209534,0.44760467230419937,0.0159815419465303,0.3813425004482269,0.3813157705036583,1.3905830410686912,0.3776041666666667,0.40017750312274014,0.35046502674607777,0.1114161936641938,1.1764163028288215,0.424390243902439,0.4024390243902439,2,2,2,6,5,4,4,3,better_reconstruction_than_prediction
pca@128,pca,128.0,31.25,0.1838237792253494,0.187050312757492,0.4067781269550323,0.30239271682997537,0.0209598392248153,0.2944910228252411,0.2916699476200256,1.2060645796018754,0.3888888888888889,0.41425503473363573,0.362361203289787,0.12813193956551375,1.2173823261885919,0.44146341463414634,0.3926829268292683,1,1,1,2,3,1,1,2,aligned
mlp_ae@16,mlp_ae,16.0,250.0,0.5617189407348633,0.4183309972286224,0.8435381650924683,0.7976527591397624,0.0505545921623706,0.5983996391296387,0.5803747255697993,2.2445456464186457,0.4123263888888889,0.38755067604584403,0.3603144433815509,0.10867430080308128,1.0494568009331726,0.36097560975609755,0.4097560975609756,6,6,6,4,6,-2,-2,0,better_prediction_than_reconstruction
mlp_ae@32,mlp_ae,32.0,125.0,0.5210931897163391,0.4199081063270569,0.907153308391571,0.757782545558358,0.0608324483036994,0.5963709950447083,0.6010238116197875,2.0964055096321395,0.3932291666666667,0.38590493721648805,0.3526281806029181,0.10026883300401894,1.1026971829551724,0.3780487804878049,0.40487804878048783,5,7,7,5,7,0,-2,2,aligned
mlp_ae@64,mlp_ae,64.0,62.5,0.4251468181610107,0.3735730648040771,0.7469497323036194,0.6076174381822865,0.0502205565571785,0.5548410415649414,0.5054393964728212,1.90764857408608,0.3524305555555556,0.41421558959524907,0.34169895407466244,0.1304638561597714,1.3825359677620455,0.48048780487804876,0.4317073170731707,4,4,4,7,2,3,3,-2,better_reconstruction_than_prediction
