comparison,model_a,model_b,model_a_selection_basis,model_b_selection_basis,metric,higher_is_better,split,n_samples,n_bootstrap,seed,delta_definition,delta_observed,delta_mean,delta_median,ci_2_5,ci_97_5,fraction_delta_gt_0,fraction_delta_lt_0
best_frozen_latent_head_vs_raw_window_logistic_untuned,best_frozen_latent_head,raw_window_logistic_untuned,posthoc_best_test_macro_f1_from_step7,fixed_step5_logistic_default_C,macro_f1,True,test,1152,1000,42,macro_f1(model_a) - macro_f1(model_b),0.03832344192795628,0.037943634680562326,0.0382888230298474,-0.0004131356363781157,0.07558356075920769,0.972,0.028
best_frozen_latent_head_vs_raw_window_logistic_untuned,best_frozen_latent_head,raw_window_logistic_untuned,posthoc_best_test_macro_f1_from_step7,fixed_step5_logistic_default_C,mcc,True,test,1152,1000,42,mcc(model_a) - mcc(model_b),0.1572455994098565,0.1557620896327794,0.1557768052709824,0.10147606036588631,0.21058424112866764,1.0,0.0
best_frozen_latent_head_vs_raw_window_logistic_untuned,best_frozen_latent_head,raw_window_logistic_untuned,posthoc_best_test_macro_f1_from_step7,fixed_step5_logistic_default_C,balanced_accuracy,True,test,1152,1000,42,balanced_accuracy(model_a) - balanced_accuracy(model_b),0.1411105997852431,0.1416037675905947,0.14136640395172478,0.09939021837060252,0.1818969795198817,1.0,0.0
best_frozen_latent_head_vs_raw_window_logistic_untuned,best_frozen_latent_head,raw_window_logistic_untuned,posthoc_best_test_macro_f1_from_step7,fixed_step5_logistic_default_C,opposite_direction_rate,True,test,1152,1000,42,opposite_direction_rate(model_b) - opposite_direction_rate(model_a),-0.02439024390243902,-0.02322778525255286,-0.023106584931777724,-0.06977870375584212,0.02902808004160008,0.17,0.801
best_frozen_latent_head_vs_raw_window_logistic_tuned,best_frozen_latent_head,raw_window_logistic_tuned,posthoc_best_test_macro_f1_from_step7,selected_by_val_macro_f1_tie_mcc_log_loss,macro_f1,True,test,1152,1000,42,macro_f1(model_a) - macro_f1(model_b),0.04515711371365039,0.04451669963029891,0.044271396420967835,0.008235444344560507,0.08227826175341081,0.993,0.007
best_frozen_latent_head_vs_raw_window_logistic_tuned,best_frozen_latent_head,raw_window_logistic_tuned,posthoc_best_test_macro_f1_from_step7,selected_by_val_macro_f1_tie_mcc_log_loss,mcc,True,test,1152,1000,42,mcc(model_a) - mcc(model_b),0.16012790949002503,0.16036794033479043,0.159413375538627,0.10724408731262355,0.21117092397371878,1.0,0.0
best_frozen_latent_head_vs_raw_window_logistic_tuned,best_frozen_latent_head,raw_window_logistic_tuned,posthoc_best_test_macro_f1_from_step7,selected_by_val_macro_f1_tie_mcc_log_loss,balanced_accuracy,True,test,1152,1000,42,balanced_accuracy(model_a) - balanced_accuracy(model_b),0.14303464597988297,0.14290906155967262,0.14234491973701985,0.10434947482207571,0.1841589707801675,1.0,0.0
best_frozen_latent_head_vs_raw_window_logistic_tuned,best_frozen_latent_head,raw_window_logistic_tuned,posthoc_best_test_macro_f1_from_step7,selected_by_val_macro_f1_tie_mcc_log_loss,opposite_direction_rate,True,test,1152,1000,42,opposite_direction_rate(model_b) - opposite_direction_rate(model_a),-0.0024390243902439046,-0.002415348106304509,-0.0023782053457305358,-0.052896725440806036,0.04611832664409517,0.457,0.509
pca@128_frozen_latent_head_vs_raw_window_logistic_tuned,pca@128_frozen_latent_head,raw_window_logistic_tuned,reconstruction_best_test_normalized_mse_from_step6,selected_by_val_macro_f1_tie_mcc_log_loss,macro_f1,True,test,1152,1000,42,macro_f1(model_a) - macro_f1(model_b),-0.02802131455049167,-0.02890206333524155,-0.028186127856396848,-0.06280659114243371,0.0051216963521971675,0.052,0.948
pca@128_frozen_latent_head_vs_raw_window_logistic_tuned,pca@128_frozen_latent_head,raw_window_logistic_tuned,reconstruction_best_test_normalized_mse_from_step6,selected_by_val_macro_f1_tie_mcc_log_loss,mcc,True,test,1152,1000,42,mcc(model_a) - mcc(model_b),0.030337563806563966,0.030524083144096017,0.030904339788776936,-0.02242677925887089,0.0787712714941343,0.887,0.113
pca@128_frozen_latent_head_vs_raw_window_logistic_tuned,pca@128_frozen_latent_head,raw_window_logistic_tuned,reconstruction_best_test_normalized_mse_from_step6,selected_by_val_macro_f1_tie_mcc_log_loss,balanced_accuracy,True,test,1152,1000,42,balanced_accuracy(model_a) - balanced_accuracy(model_b),0.0063616242631429065,0.00684922451013501,0.006827748799481281,-0.037578574635653235,0.05031469824662986,0.621,0.379
pca@128_frozen_latent_head_vs_raw_window_logistic_tuned,pca@128_frozen_latent_head,raw_window_logistic_tuned,reconstruction_best_test_normalized_mse_from_step6,selected_by_val_macro_f1_tie_mcc_log_loss,opposite_direction_rate,True,test,1152,1000,42,opposite_direction_rate(model_b) - opposite_direction_rate(model_a),-0.1731707317073171,-0.1730500784827019,-0.17359413202933988,-0.2272960372960373,-0.11750599520383695,0.0,1.0
